layer,key,status,ref_count,note,sources
Reference,ui.economy_overlay.catalog_title,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_EconomyOverlay.cs
Reference,ui.economy_overlay.close_hint_format,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_EconomyOverlay.cs
Reference,ui.economy_overlay.quick_slots_title_format,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_EconomyOverlay.cs
Reference,ui.economy_overlay.quick_slots_missing,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_EconomyOverlay.cs
Reference,ui.economy_overlay.quick_slot_entry_format,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_EconomyOverlay.cs
Reference,ui.economy_overlay.use_button,Ok,3,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_EconomyOverlay.cs
Reference,ui.economy_overlay.clear_button,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_EconomyOverlay.cs
Reference,ui.economy_overlay.quick_slot_hint_default,Ok,4,referenced_and_resolved,Assets/Editor/LocalizationCoverageGateValidator.cs | Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_EconomyOverlay.cs
Reference,ui.economy_overlay.catalog_empty,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_EconomyOverlay.cs
Reference,ui.economy_overlay.buy_button_format,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_EconomyOverlay.cs
Reference,ui.economy_overlay.bind_slot_format,Ok,4,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_EconomyOverlay.cs
Reference,ui.hud_hints.title,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_HudHints.cs
Reference,ui.hud_hints.economy_format,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_HudHints.cs
Reference,ui.hud_hints.quick_slots_format,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_HudHints.cs
Reference,ui.hud_hints.talent_format,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_HudHints.cs
Reference,ui.hud_hints.none,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_HudHints.cs
Reference,ui.level.complete_title,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_LevelComplete.cs
Reference,ui.level.exp_format,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_LevelComplete.cs
Reference,ui.level.pearls_format,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_LevelComplete.cs
Reference,ui.level.time_format,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_LevelComplete.cs
Reference,ui.level.failed_title,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_LevelComplete.cs
Reference,ui.quest.stage_format,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_QuestTracker.cs
Reference,ui.quest.type.kill_enemies,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_QuestTracker.cs
Reference,ui.quest.type.kill_enemy_type,Ok,2,referenced_and_resolved,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_QuestTracker.cs
